TotalCores,MatrixSize,SingleCore,Time
1,100,0,561.9
1,200,0,4633.033333333334
1,300,0,16521.866666666665
1,400,0,44552.53333333333
1,500,0,92094.86666666667
1,600,0,166435.23333333334
1,700,0,272136.93333333335
1,800,0,416708.0
1,900,0,600951.4666666667
1,1000,0,836784.2
2,100,0,265.1
2,100,1,257.6
2,200,0,2389.633333333333
2,200,1,2387.9
2,300,0,8802.9
2,300,1,8794.9
2,400,0,22616.3
2,400,1,22610.433333333334
2,500,0,47484.26666666667
2,500,1,47475.46666666667
2,600,0,85708.03333333334
2,600,1,85699.43333333333
2,700,0,140262.53333333333
2,700,1,140252.0
2,800,0,213668.8
2,800,1,213663.4
2,900,0,310325.3
2,900,1,310320.1666666667
2,1000,0,429818.26666666666
2,1000,1,429813.86666666664
3,100,0,198.73333333333332
3,100,1,186.8
3,100,2,197.2
3,200,0,1660.0
3,200,1,1649.5333333333333
3,200,2,1658.5333333333333
3,300,0,5873.366666666667
3,300,1,5865.6
3,300,2,5870.8
3,400,0,15522.533333333333
3,400,1,15515.066666666668
3,400,2,15516.333333333334
3,500,0,32289.533333333333
3,500,1,32276.066666666666
3,500,2,32282.333333333332
3,600,0,58407.8
3,600,1,58397.4
3,600,2,58401.2
3,700,0,94995.0
3,700,1,94984.53333333334
3,700,2,94991.5
3,800,0,145143.16666666666
3,800,1,145131.76666666666
3,800,2,145139.53333333333
3,900,0,209380.3
3,900,1,209376.9
3,900,2,209379.66666666666
3,1000,0,292263.73333333334
3,1000,1,292259.3
3,1000,2,292263.23333333334
4,100,0,138.5
4,100,1,135.5
4,100,2,136.23333333333332
4,100,3,137.93333333333334
4,200,0,1222.8333333333333
4,200,1,1204.2
4,200,2,1221.9666666666667
4,200,3,1223.1333333333334
4,300,0,4419.3
4,300,1,4416.1
4,300,2,4415.333333333333
4,300,3,4418.233333333334
4,400,0,11699.4
4,400,1,11663.033333333333
4,400,2,11691.666666666666
4,400,3,11698.466666666667
4,500,0,24333.266666666666
4,500,1,24253.533333333333
4,500,2,24325.233333333334
4,500,3,24331.166666666668
4,600,0,43837.433333333334
4,600,1,43826.26666666667
4,600,2,43827.3
4,600,3,43836.76666666667
4,700,0,71714.46666666666
4,700,1,71596.26666666666
4,700,2,71706.56666666667
4,700,3,71712.66666666667
4,800,0,109249.46666666666
4,800,1,109240.0
4,800,2,109241.16666666667
4,800,3,109246.73333333334
4,900,0,158019.1
4,900,1,158009.43333333332
4,900,2,158012.76666666666
4,900,3,158019.4
4,1000,0,219619.53333333333
4,1000,1,219612.96666666667
4,1000,2,219617.73333333334
4,1000,3,219618.9
5,100,0,141.46666666666667
5,100,1,131.13333333333333
5,100,2,136.3
5,100,3,138.1
5,100,4,138.76666666666668
5,200,0,1025.2333333333333
5,200,1,973.0
5,200,2,1021.5333333333333
5,200,3,1019.4333333333333
5,200,4,1024.1
5,300,0,3589.866666666667
5,300,1,3547.8
5,300,2,3586.4
5,300,3,3586.4333333333334
5,300,4,3586.633333333333
5,400,0,9338.266666666666
5,400,1,9333.333333333334
5,400,2,9336.933333333332
5,400,3,9335.866666666667
5,400,4,9334.733333333334
5,500,0,19515.733333333334
5,500,1,19512.333333333332
5,500,2,19515.233333333334
5,500,3,19516.0
5,500,4,19514.5
5,600,0,35296.03333333333
5,600,1,35250.5
5,600,2,35277.1
5,600,3,35293.933333333334
5,600,4,35296.1
5,700,0,57818.1
5,700,1,57612.3
5,700,2,57734.166666666664
5,700,3,57810.7
5,700,4,57817.86666666667
5,800,0,87974.76666666666
5,800,1,87967.63333333333
5,800,2,87967.23333333334
5,800,3,87973.1
5,800,4,87976.5
5,900,0,126596.46666666666
5,900,1,126587.93333333333
5,900,2,126586.13333333333
5,900,3,126590.56666666667
5,900,4,126598.3
5,1000,0,175934.26666666666
5,1000,1,175924.4
5,1000,2,175930.83333333334
5,1000,3,175936.6
5,1000,4,175939.46666666667
6,100,0,132.1
6,100,1,122.16666666666667
6,100,2,126.23333333333333
6,100,3,125.83333333333333
6,100,4,127.73333333333333
6,100,5,113.56666666666666
6,200,0,911.8666666666667
6,200,1,894.1666666666666
6,200,2,902.8666666666667
6,200,3,903.1333333333333
6,200,4,902.8666666666667
6,200,5,877.3333333333334
6,300,0,3084.9666666666667
6,300,1,3033.8333333333335
6,300,2,3077.5
6,300,3,3079.633333333333
6,300,4,3081.9
6,300,5,3065.0333333333333
6,400,0,7880.466666666666
6,400,1,7826.933333333333
6,400,2,7879.033333333334
6,400,3,7879.1
6,400,4,7881.3
6,400,5,7857.366666666667
6,500,0,16383.366666666667
6,500,1,16365.733333333334
6,500,2,16377.166666666666
6,500,3,16379.566666666668
6,500,4,16378.066666666668
6,500,5,16345.6
6,600,0,29430.6
6,600,1,29423.766666666666
6,600,2,29421.533333333333
6,600,3,29426.266666666666
6,600,4,29428.0
6,600,5,29397.266666666666
6,700,0,48386.9
6,700,1,48351.4
6,700,2,48380.46666666667
6,700,3,48383.0
6,700,4,48386.833333333336
6,700,5,47997.933333333334
6,800,0,73739.56666666667
6,800,1,73625.36666666667
6,800,2,73731.63333333333
6,800,3,73740.5
6,800,4,73741.6
6,800,5,73514.4
6,900,0,106215.96666666666
6,900,1,106174.7
6,900,2,106206.83333333333
6,900,3,106213.5
6,900,4,106214.36666666667
6,900,5,106172.23333333334
6,1000,0,147882.96666666667
6,1000,1,147841.7
6,1000,2,147875.0
6,1000,3,147878.83333333334
6,1000,4,147882.1
6,1000,5,147722.36666666667
7,100,0,132.16666666666666
7,100,1,125.03333333333333
7,100,2,116.83333333333333
7,100,3,124.8
7,100,4,125.56666666666666
7,100,5,109.53333333333333
7,100,6,118.4
7,200,0,752.6
7,200,1,746.6333333333333
7,200,2,743.1666666666666
7,200,3,745.3666666666667
7,200,4,745.0666666666667
7,200,5,729.0333333333333
7,200,6,735.8
7,300,0,2658.4333333333334
7,300,1,2576.233333333333
7,300,2,2654.3333333333335
7,300,3,2655.766666666667
7,300,4,2658.3
7,300,5,2636.366666666667
7,300,6,2648.3
7,400,0,6907.566666666667
7,400,1,6856.966666666666
7,400,2,6906.966666666666
7,400,3,6903.9
7,400,4,6907.066666666667
7,400,5,6891.466666666666
7,400,6,6897.766666666666
7,500,0,14462.933333333332
7,500,1,14404.466666666667
7,500,2,14454.133333333333
7,500,3,14458.3
7,500,4,14457.7
7,500,5,14437.866666666667
7,500,6,14294.0
7,600,0,25528.966666666667
7,600,1,25523.666666666668
7,600,2,25521.466666666667
7,600,3,25521.8
7,600,4,25519.9
7,600,5,25496.833333333332
7,600,6,25474.7
7,700,0,41721.333333333336
7,700,1,41689.833333333336
7,700,2,41716.5
7,700,3,41720.76666666667
7,700,4,41717.066666666666
7,700,5,41684.36666666667
7,700,6,41576.46666666667
7,800,0,63571.066666666666
7,800,1,63563.46666666667
7,800,2,63558.63333333333
7,800,3,63562.86666666667
7,800,4,63563.666666666664
7,800,5,63543.6
7,800,6,63460.1
7,900,0,91503.0
7,900,1,91492.36666666667
7,900,2,91498.76666666666
7,900,3,91502.5
7,900,4,91500.93333333333
7,900,5,91478.1
7,900,6,91430.26666666666
7,1000,0,128395.96666666666
7,1000,1,128328.56666666667
7,1000,2,128204.33333333333
7,1000,3,128392.6
7,1000,4,128390.26666666666
7,1000,5,128097.8
7,1000,6,128364.7
8,100,0,120.56666666666666
8,100,1,109.76666666666667
8,100,2,114.03333333333333
8,100,3,115.26666666666667
8,100,4,117.36666666666666
8,100,5,102.1
8,100,6,101.53333333333333
8,100,7,104.76666666666667
8,200,0,721.9
8,200,1,682.4333333333333
8,200,2,717.0
8,200,3,719.0
8,200,4,720.0
8,200,5,705.0
8,200,6,703.7666666666667
8,200,7,708.6
8,300,0,2538.9
8,300,1,2445.2
8,300,2,2534.866666666667
8,300,3,2536.366666666667
8,300,4,2540.9666666666667
8,300,5,2528.1666666666665
8,300,6,2528.133333333333
8,300,7,2523.5666666666666
8,400,0,6475.966666666666
8,400,1,6457.6
8,400,2,6425.4
8,400,3,6470.266666666666
8,400,4,6467.566666666667
8,400,5,6417.233333333334
8,400,6,6449.0
8,400,7,6270.8
8,500,0,12983.833333333334
8,500,1,12931.766666666666
8,500,2,12968.533333333333
8,500,3,12968.733333333334
8,500,4,12968.5
8,500,5,12929.3
8,500,6,12954.366666666667
8,500,7,12959.933333333332
8,600,0,22934.433333333334
8,600,1,22921.8
8,600,2,22888.833333333332
8,600,3,22933.9
8,600,4,22930.1
8,600,5,22900.4
8,600,6,22814.866666666665
8,600,7,22864.2
8,700,0,36858.46666666667
8,700,1,36846.433333333334
8,700,2,36848.9
8,700,3,36855.566666666666
8,700,4,36855.03333333333
8,700,5,36827.1
8,700,6,36821.73333333333
8,700,7,36837.5
8,800,0,57905.066666666666
8,800,1,57839.36666666667
8,800,2,57706.46666666667
8,800,3,57903.6
8,800,4,57902.63333333333
8,800,5,57878.4
8,800,6,57880.26666666667
8,800,7,57856.13333333333
8,900,0,82888.73333333334
8,900,1,82868.86666666667
8,900,2,82879.36666666667
8,900,3,82886.56666666667
8,900,4,82883.8
8,900,5,82757.46666666666
8,900,6,82866.93333333333
8,900,7,82876.2
8,1000,0,132389.06666666668
8,1000,1,132269.13333333333
8,1000,2,132363.66666666666
8,1000,3,132380.23333333334
8,1000,4,132381.06666666668
8,1000,5,131578.1
8,1000,6,131981.2
8,1000,7,132334.13333333333
9,100,0,129.9
9,100,1,115.7
9,100,2,122.13333333333334
9,100,3,123.66666666666667
9,100,4,124.6
9,100,5,99.03333333333333
9,100,6,109.43333333333334
9,100,7,113.3
9,100,8,124.5
9,200,0,983.4666666666667
9,200,1,918.3666666666667
9,200,2,980.1333333333333
9,200,3,973.7333333333333
9,200,4,982.3333333333334
9,200,5,818.2
9,200,6,944.4333333333333
9,200,7,935.0
9,200,8,980.8
9,300,0,3281.633333333333
9,300,1,3271.366666666667
9,300,2,3275.9666666666667
9,300,3,3279.633333333333
9,300,4,3279.366666666667
9,300,5,2963.0333333333333
9,300,6,3193.733333333333
9,300,7,3258.9
9,300,8,3280.0333333333333
9,400,0,7799.666666666667
9,400,1,7787.3
9,400,2,7799.733333333334
9,400,3,7797.333333333333
9,400,4,7795.966666666666
9,400,5,7596.1
9,400,6,7713.433333333333
9,400,7,7786.733333333334
9,400,8,7792.866666666667
9,500,0,16002.9
9,500,1,15885.333333333334
9,500,2,15998.7
9,500,3,15989.733333333334
9,500,4,15984.866666666667
9,500,5,15221.766666666666
9,500,6,15944.366666666667
9,500,7,15940.033333333333
9,500,8,15997.733333333334
9,600,0,25643.766666666666
9,600,1,25629.566666666666
9,600,2,25636.933333333334
9,600,3,25633.4
9,600,4,25630.333333333332
9,600,5,25262.066666666666
9,600,6,25541.5
9,600,7,25617.533333333333
9,600,8,25640.233333333334
9,700,0,38551.1
9,700,1,38542.0
9,700,2,38541.833333333336
9,700,3,38533.2
9,700,4,38535.0
9,700,5,38022.666666666664
9,700,6,38225.0
9,700,7,38523.53333333333
9,700,8,38537.433333333334
9,800,0,58498.0
9,800,1,58483.166666666664
9,800,2,58490.833333333336
9,800,3,58489.433333333334
9,800,4,58487.5
9,800,5,57864.03333333333
9,800,6,58384.46666666667
9,800,7,58446.666666666664
9,800,8,58493.7
9,900,0,81893.8
9,900,1,81881.26666666666
9,900,2,81717.26666666666
9,900,3,81885.16666666667
9,900,4,81884.36666666667
9,900,5,81106.23333333334
9,900,6,81858.46666666666
9,900,7,81866.1
9,900,8,81888.9
9,1000,0,130032.93333333333
9,1000,1,129672.26666666666
9,1000,2,130016.26666666666
9,1000,3,130020.9
9,1000,4,130021.66666666667
9,1000,5,127661.63333333333
9,1000,6,129583.73333333334
9,1000,7,129923.26666666666
9,1000,8,130022.0
10,100,0,133.0
10,100,1,123.8
10,100,2,129.8
10,100,3,123.86666666666666
10,100,4,126.83333333333333
10,100,5,97.03333333333333
10,100,6,101.16666666666667
10,100,7,111.3
10,100,8,126.53333333333333
10,100,9,118.43333333333334
10,200,0,952.9333333333333
10,200,1,928.6666666666666
10,200,2,948.7666666666667
10,200,3,945.9666666666667
10,200,4,945.8666666666667
10,200,5,659.0666666666667
10,200,6,725.4
10,200,7,887.1
10,200,8,942.9
10,200,9,921.7666666666667
10,300,0,3409.5333333333333
10,300,1,3351.5333333333333
10,300,2,3405.133333333333
10,300,3,3397.4666666666667
10,300,4,3398.4
10,300,5,2571.133333333333
10,300,6,2860.6666666666665
10,300,7,3065.5
10,300,8,3394.7
10,300,9,3367.4333333333334
10,400,0,8124.966666666666
10,400,1,8046.466666666666
10,400,2,8115.7
10,400,3,8116.233333333334
10,400,4,8117.3
10,400,5,7083.0
10,400,6,7256.3
10,400,7,7933.066666666667
10,400,8,8114.7
10,400,9,8072.666666666667
10,500,0,17160.0
10,500,1,17057.366666666665
10,500,2,16895.933333333334
10,500,3,17126.9
10,500,4,17147.666666666668
10,500,5,13631.866666666667
10,500,6,16546.333333333332
10,500,7,16248.7
10,500,8,17147.9
10,500,9,16345.2
10,600,0,25473.9
10,600,1,25466.5
10,600,2,25295.333333333332
10,600,3,25463.0
10,600,4,25459.2
10,600,5,24719.6
10,600,6,25113.166666666668
10,600,7,25221.0
10,600,8,25462.733333333334
10,600,9,25373.333333333332
10,700,0,38136.36666666667
10,700,1,38004.166666666664
10,700,2,38119.3
10,700,3,38118.6
10,700,4,38116.433333333334
10,700,5,37195.2
10,700,6,37391.5
10,700,7,37904.9
10,700,8,38115.96666666667
10,700,9,38059.76666666667
10,800,0,56139.9
10,800,1,56133.2
10,800,2,56131.3
10,800,3,56125.566666666666
10,800,4,56119.86666666667
10,800,5,55527.53333333333
10,800,6,55963.36666666667
10,800,7,55587.6
10,800,8,56124.23333333333
10,800,9,55872.833333333336
10,900,0,79565.2
10,900,1,79166.6
10,900,2,79566.4
10,900,3,79554.3
10,900,4,79553.5
10,900,5,78360.3
10,900,6,79388.3
10,900,7,79391.96666666666
10,900,8,79555.66666666667
10,900,9,79428.03333333334
10,1000,0,113059.66666666667
10,1000,1,112715.56666666667
10,1000,2,113053.0
10,1000,3,112802.56666666667
10,1000,4,113042.83333333333
10,1000,5,111061.46666666666
10,1000,6,112150.2
10,1000,7,112022.43333333333
10,1000,8,113049.9
10,1000,9,112366.83333333333
